feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
wav_L2_LL_energy,-0.04594997218434303,0.2555287177047652,0.039265352603064976,-0.0018565279889189183,0.22967328134192358,-0.09170493775461043,-0.002862784967760298,-0.18511783286463787,-0.0030239201394157123,0.18183540050524866,-0.04882579915321466,0.1425195128039802,-0.0899110082121402,-0.06236628001490627,0.056728614291718035
wav_L2_LL_entropy,0.20564125015237664,0.08351523527092052,-0.11615714601795364,0.06892362377635755,0.09483962606139601,0.04238847422703241,-0.035108679296245754,0.03791271655894419,0.013079716709935,-0.029564824173496856,0.05282032517804625,-0.05994614073400288,0.07316771821358467,0.049149366297398384,0.07725160445155081
wav_L2_LL_mean,-0.036866749461391055,0.2723832007136974,0.040001914012181554,-0.014105509498911805,0.21669294844893838,-0.08722686761805924,0.017683198577281088,-0.09974633250946464,0.0010412334513580958,0.0726922815309659,-0.04065880734382178,0.02465349050648599,-0.04700394675116596,0.006880912883787492,0.08924999086488189
wav_L2_LL_kurt,-0.02922574819315585,-0.2163201249677172,0.0027601347376917888,-0.14484466830758594,0.3106230536706426,0.14571432204721801,-0.10077396657581705,-0.10320839023847651,-0.043918577899553723,0.1356860007441428,-0.039869099343138516,-0.17959314576183114,-0.024042719183834473,0.01763865194369237,-0.16415481099619234
wav_L2_LH_energy,-0.18256538331280753,-0.021192212797688702,-0.009705800821405812,0.07602234256029738,-0.014919911867696638,0.29384791264663235,0.09741980555716132,0.016224195137860806,-0.0025171175074400576,-0.034098021055546344,-0.24328045996099593,0.3680314139117532,-0.14934501942721606,0.01882045740585139,-0.03701160215189945
wav_L2_LH_entropy,0.1959929296162623,0.09753558022898623,-0.11156483397055718,0.0737963284034271,0.0027774768414978676,0.10659157702689716,-0.16445628836751283,0.06391720600167279,0.03854296415739804,0.02795479501958223,-0.040767684963669365,-0.024370127437199008,-0.06505515585299838,0.08029965805141522,-0.16324847563618045
wav_L2_LH_mean,0.07164955492663017,-0.03466137107805003,0.2644772136998564,0.0434542975307181,0.036956154600807124,0.2293484871032213,0.1341772594262554,-0.16124498436078732,0.21661565790705947,-0.12184023670312369,-0.08246285841362291,0.14076924808281185,0.045279837880780334,0.11375287990527039,0.093107192793653
wav_L2_LH_kurt,0.11292705684396379,-0.15276710161457027,-0.13624415262069253,0.041344394204658276,0.14650217072960192,-0.02734161436029546,0.24588183133451474,-0.13349984248663976,-0.09883327222836008,-0.10424468877888342,0.1293385618192947,0.004391447353518257,0.20655260820640778,-0.26151905716619417,0.4856206724676861
wav_L2_HL_energy,-0.18043839468734896,0.008710486984421062,-0.22427031319776933,0.05400268305558003,0.00021332260913410568,0.049595532191214514,-0.02465914517238307,-0.04637495301285131,0.020461088072851855,-0.031229118983881553,0.09189245206445032,0.008540925441603292,0.07224204529075641,0.059193694433568554,0.03207516017395152
wav_L2_HL_entropy,0.19168105723840703,0.0810777390902148,-0.09629942615025595,0.01729583607584843,-0.034985449705712976,0.0672110666625143,-0.27822378759937105,0.020019040789923608,0.04458320110078268,-0.03889879312875422,-0.12467342442536543,-0.017296865981841672,-0.15200820896157172,-0.3019804760770473,-0.039346802071940745
wav_L2_HL_mean,-0.1283951759280692,0.028881920417633853,-0.23710971801176126,0.0035917702556757364,-0.04967033871172005,-0.18767112648115994,-0.024092632706867602,0.09362823891040127,0.03428378696775477,0.2679918561671951,-0.026398197656542086,-0.27756995496561,-0.0430414538155369,0.04286457806747254,0.166735640895542
wav_L2_HL_kurt,0.11294255205863961,-0.0857320608236257,-0.1200691291944895,0.13169550385250553,0.17200126304832875,-0.0069276600946436605,0.3624369054096747,0.05825882067505088,-0.028430267646107777,0.1411730114321892,0.13381569704906993,0.057619840222806154,0.10128876568016253,0.6738026574410525,0.01214079665679629
wav_L2_HH_energy,-0.19805963060146028,-0.015262557177663052,-0.15325844954745596,0.0758591139672518,-0.03492343463951104,0.12991107214128872,0.013629071959470851,-0.038733897991679325,-0.06067944123495787,-0.025277869586549713,-0.09406353398151829,0.1137487136349299,-0.0041451928241150945,0.012661684227333905,0.0446306027230662
wav_L2_HH_entropy,0.18202103162467972,0.07707413386763969,-0.09936622486364331,0.08334394741633662,0.037059595620301596,0.17466611867500642,-0.27143421439903087,-0.03635366139008355,-0.015001568347046057,-0.01701747924655187,0.15245671835855418,0.04130250510354143,-0.01416205158356637,0.07814722225469177,-0.07809292068214849
wav_L2_HH_mean,-0.08339919700916536,0.06372304008627062,-0.13135473968027697,-0.00924517507226184,0.012398871222603833,0.004727580740982327,0.038561887880812704,-0.18311502092267004,0.6252732298316686,-0.0877683101554925,-0.3694366328033716,-0.04156800272527045,0.5432978396264624,-0.02693398388619436,-0.15451885686919073
wav_L2_HH_kurt,0.16107514019935326,-0.04813503698976987,-0.15461747902523673,0.05396369725977134,0.0484884730802832,-0.046415494730691266,0.28621380442108973,0.08029926932021081,0.051707643723587396,-0.03669856959811494,-0.2636179436113282,-0.05384064797105299,-0.13067605823303058,-0.12139332927437095,0.028500703924630364
